Q0	'Ndrangheta
Q1	10 Downing Street
Q2	A Just Russia Party
Q3	A.K. Antony
Q4	A.K. Sharma
Q5	A.K. Singh
Q6	A.M. Bhattacharyya
Q7	A.P. Sharma
Q8	ACT Party
Q9	AK Singh
Q10	ANC National Executive Committee
Q11	ANC Youth League
Q12	ANGOP
Q13	ANS Group of Companies
Q14	AT&T
Q15	ATV
Q16	Aam Aadmi Party
Q17	Aaron Motsoaledi
Q18	Abass Bundu
Q19	Abay Tsehaye
Q20	Abbas Araqchi
Q21	Abbas Ibrahim
Q22	Abbot (Thailand)
Q23	Abby Binay
Q24	Abd al-Rab Mansur al-Hadi
Q25	Abdalla Hamdok
Q26	Abdel Fattah Al-Sisi
Q27	Abdel Fattah Burhan
Q28	Abdel Hamid Al-Hagan
Q29	Abdelaziz Belaid
Q30	Abdelaziz Bouteflika
Q31	Abdelaziz Djerad
Q32	Abdelaziz al-Hilu
Q33	Abdelbaset al-Megrahi
Q34	Abdelilah Benkirane
Q35	Abdelkader Taleb Oumar
Q36	Abdelmadjid Tebboune
Q37	Abdelmalek Sellal
Q38	Abdelouafi Laftit
Q39	Abderrahmane Benkhalfa
Q40	Abdirahman Abdishakur Warsame
Q41	Abdirahman Ducaale Bayle
Q42	Abdol Hadi Arghandiwal
Q43	Abdolreza Rahmani-Fazli
Q44	Abdoulaye Balde
Q45	Abdoulaye Daouda Diallo
Q46	Abdoulaye Diop
Q47	Abdoulaye Idrissa Maïga
Q48	Abdoulaye Wade
Q49	Abdul Ghani Baradar
Q50	Abdul Hafeez Sheikh
Q51	Abdul Halim Khaddam
Q52	Abdul Hamid
Q53	Abdul Hussain bin Ali Mirza
Q54	Abdul Latif Pedram
Q55	Abdul Main Khasru
Q56	Abdul Qadir
Q57	Abdul Rab Rasul Sayyaf
Q58	Abdul Rashid Dostum
Q59	Abdul Salam Zaeef
Q60	Abdul Subhan
Q61	Abdul'aziz Abubakar Yari
Q62	Abdul-Jalil Al-Singace
Q63	Abdul-Karim Al-Houthi
Q64	Abdul-Malik Al-Houthi
Q65	Abdulaziz Kamilov
Q66	Abdulfatah Ahmed
Q67	Abdulhadi al-Khawaja
Q68	Abdulla Aripov
Q69	Abdulla Shahid
Q70	Abdulla Yameen
Q71	Abdullah Abdullah
Q72	Abdullah Gül
Q73	Abdullah II of Jordan
Q74	Abdullah Senussi
Q75	Abdullah al-Thinni
Q76	Abdullah bin Abdulaziz al-Saud
Q77	Abdullah Öcalan
Q78	Abdullahi Adamu
Q79	Abdullahi Umar Ganduje
Q80	Abdullatif Al-Zayani
Q81	Abdullatif bin Rashid Al-Zayani
Q82	Abdulsalami Alhaji Abubakar
Q83	Abdusakur Tan
Q84	Abdygany Erkebayev
Q85	Abel Pacheco De La Espriella
Q86	Abhishek Manu Singhvi
Q87	Abhisit Vejjajiva
Q88	Abimael Guzmán
Q89	Abiy Ahmed
Q90	Abkhazia
Q91	Aborigine
Q92	Abrar
Q93	Abu Azmi
Q94	Abu Bakar Bashir
Q95	Abu Bakar Siddique
Q96	Abu Bakr al-Baghdadi
Q97	Abu Darda
Q98	Abu Dhabi Chamber of Commerce and Industry
Q99	Abu Dhabi Judicial Department
Q100	Abu Mohammad al-Golani
Q101	Abu Musab al-Zarqawi
Q102	Abu Salem
Q103	Abu Sayyaf
Q104	Abubacarr Tambadou
Q105	Abubakar Shekau
Q106	Abul Kalam Abdul Momen
Q107	Abílio dos Santos Diniz
Q108	Abülfaz Elçibay
Q109	Academia Sinica
Q110	Academic Staff Union of Universities
Q111	Ace Magashule
Q112	Aceh
Q113	Achi
Q114	Achim Steiner
Q115	Achmad Sukarno
Q116	Action Committee for Renewal
Q117	Action Party (Indonesia)
Q118	Action Party (Singapore)
Q119	Action Party (Turkey)
Q120	Action for Change
Q121	ActionAid
Q122	Activision Blizzard
Q123	Activist (ANC Youth League)
Q124	Activist (Afghanistan)
Q125	Activist (African National Congress)
Q126	Activist (Albania)
Q127	Activist (Algeria)
Q128	Activist (Angola)
Q129	Activist (Argentina)
Q130	Activist (Armenia)
Q131	Activist (Ashoka Road)
Q132	Activist (Australia)
Q133	Activist (Austria)
Q134	Activist (Awami (People's) League)
Q135	Activist (Azerbaijan)
Q136	Activist (Bahrain)
Q137	Activist (Bajrang Dal)
Q138	Activist (Bangladesh Nationalist Party)
Q139	Activist (Bangladesh Student League)
Q140	Activist (Bangladesh)
Q141	Activist (Belarus)
Q142	Activist (Belgium)
Q143	Activist (Benin)
Q144	Activist (Bharatiya Janata)
Q145	Activist (Bolivia)
Q146	Activist (Brazil)
Q147	Activist (Bulgaria)
Q148	Activist (Burkina Faso)
Q149	Activist (Cambodia)
Q150	Activist (Cameroon)
Q151	Activist (Canada)
Q152	Activist (Chad)
Q153	Activist (Chhatra Dal)
Q154	Activist (Chile)
Q155	Activist (China)
Q156	Activist (Chinese Communist Party)
Q157	Activist (Colombia)
Q158	Activist (Congo)
Q159	Activist (Cote d'Ivoire)
Q160	Activist (Crimea)
Q161	Activist (Croatia)
Q162	Activist (Cuba)
Q163	Activist (Cyprus)
Q164	Activist (Czech Republic)
Q165	Activist (Democractic Party of Cote d'Ivoire - African Democratic Rally)
Q166	Activist (Democratic Republic of Congo)
Q167	Activist (Denmark)
Q168	Activist (Dominican Republic)
Q169	Activist (Ecuador)
Q170	Activist (Egypt)
Q171	Activist (El Salvador)
Q172	Activist (Estonia)
Q173	Activist (Ethiopia)
Q174	Activist (Fatah)
Q175	Activist (France)
Q176	Activist (Free Patriotic Movement)
Q177	Activist (Gabon)
Q178	Activist (Gambia)
Q179	Activist (Georgia)
Q180	Activist (Ghana)
Q181	Activist (Greenpeace)
Q182	Activist (Guatemala)
Q183	Activist (Guinea)
Q184	Activist (Guyana)
Q185	Activist (Hamas)
Q186	Activist (Hezbollah)
Q187	Activist (Hong Kong)
Q188	Activist (Hungary)
Q189	Activist (India)
Q190	Activist (Indonesia)
Q191	Activist (International Government Organizations)
Q192	Activist (International)
Q193	Activist (Iran)
Q194	Activist (Iraq)
Q195	Activist (Iraqi Kurdistan)
Q196	Activist (Ireland)
Q197	Activist (Israel)
Q198	Activist (Italy)
Q199	Activist (Ivorian Popular Front)
Q200	Activist (Japan)
Q201	Activist (Jordan)
Q202	Activist (Kazakhstan)
Q203	Activist (Kenya)
Q204	Activist (Kosovo)
Q205	Activist (Kyrgyzstan)
Q206	Activist (Lebanese Communist Party)
Q207	Activist (Lebanon)
Q208	Activist (Liberia)
Q209	Activist (Libya)
Q210	Activist (Likud)
Q211	Activist (Luxembourg)
Q212	Activist (Malaysia)
Q213	Activist (Mali)
Q214	Activist (Mauritania)
Q215	Activist (Mauritius)
Q216	Activist (Mexico)
Q217	Activist (Middle East)
Q218	Activist (Moldova)
Q219	Activist (Morocco)
Q220	Activist (Myanmar)
Q221	Activist (Namibia)
Q222	Activist (National Bolshevik Party)
Q223	Activist (National Congress Party)
Q224	Activist (Nepal)
Q225	Activist (Netherlands)
Q226	Activist (New Zealand)
Q227	Activist (Nicaragua)
Q228	Activist (Niger)
Q229	Activist (Nigeria)
Q230	Activist (Non-Governmental Organizations)
Q231	Activist (Oman)
Q232	Activist (Pakistan administered Kashmir)
Q233	Activist (Pakistan)
Q234	Activist (Palestinian Territory, Occupied)
Q235	Activist (Panama)
Q236	Activist (Peru)
Q237	Activist (Philippines)
Q238	Activist (Poland)
Q239	Activist (Popular Will Movement)
Q240	Activist (Romani)
Q241	Activist (Russia)
Q242	Activist (Rwanda)
Q243	Activist (Sahrawi people)
Q244	Activist (Saudi Arabia)
Q245	Activist (Senegal)
Q246	Activist (Shiv Sena)
Q247	Activist (Singapore)
Q248	Activist (Slovakia)
Q249	Activist (Slovenia)
Q250	Activist (Somalia)
Q251	Activist (South Africa)
Q252	Activist (South Korea)
Q253	Activist (South Sudan)
Q254	Activist (Southeast Asia)
Q255	Activist (Spain)
Q256	Activist (Sri Lanka)
Q257	Activist (Sudan)
Q258	Activist (Swaziland)
Q259	Activist (Sweden)
Q260	Activist (Switzerland)
Q261	Activist (Syria)
Q262	Activist (Taiwan)
Q263	Activist (Tatar)
Q264	Activist (Thailand)
Q265	Activist (Tibet Autonomous Region)
Q266	Activist (Togo)
Q267	Activist (Tunisia)
Q268	Activist (Turkey)
Q269	Activist (Turkmenistan)
Q270	Activist (Uganda)
Q271	Activist (Ukraine)
Q272	Activist (United Arab Emirates)
Q273	Activist (United Civil Party)
Q274	Activist (United Kingdom)
Q275	Activist (United States)
Q276	Activist (Uruguay)
Q277	Activist (Venezuela)
Q278	Activist (Yemen)
Q279	Activist (Zambia)
Q280	Activist (Zimbabwe)
Q281	Actor (Australia)
Q282	Actor (Bangladesh)
Q283	Actor (Benin)
Q284	Actor (Brazil)
Q285	Actor (Canada)
Q286	Actor (Chad)
Q287	Actor (Cote d'Ivoire)
Q288	Actor (Cuba)
Q289	Actor (Egypt)
Q290	Actor (Ethiopia)
Q291	Actor (France)
Q292	Actor (Georgia)
Q293	Actor (Greece)
Q294	Actor (Haiti)
Q295	Actor (India)
Q296	Actor (Ireland)
Q297	Actor (Liberia)
Q298	Actor (Libya)
Q299	Actor (Mali)
Q300	Actor (Morocco)
Q301	Actor (Myanmar)
Q302	Actor (Palestinian Territory, Occupied)
Q303	Actor (Peru)
Q304	Actor (Russia)
Q305	Actor (Senegal)
Q306	Actor (Serbia)
Q307	Actor (Sudan)
Q308	Actor (Taiwan)
Q309	Actor (Turkey)
Q310	Actor (Unidentified State Actor)
Q311	Actor (United Kingdom)
Q312	Actor (United States)
Q313	Adam Bandt
Q314	Adam Kighoma Malima
Q315	Adam Schiff
Q316	Adam Smith
Q317	Adam Sultanovich Delimkhanov
Q318	Adama Barrow
Q319	Adama Coulibaly
Q320	Adama Koné
Q321	Adama Traore
Q322	Adams Oshiomhole
Q323	Adebisi Akande
Q324	Adel al-Jubeir
Q325	Adil Abdul-Mahdi
Q326	Administrative Body (Afghanistan)
Q327	Administrative Body (Burundi)
Q328	Administrative Body (Egypt)
Q329	Administrative Body (Hong Kong)
Q330	Administrative Body (India)
Q331	Administrative Body (Japan)
Q332	Administrative Body (Jordan)
Q333	Administrative Body (Libya)
Q334	Administrative Body (Singapore)
Q335	Administrative Department of Security
Q336	Administrative Tribunal
Q337	Admiral (Bahrain)
Q338	Admiral (Bangladesh)
Q339	Admiral (Belgium)
Q340	Admiral (Brazil)
Q341	Admiral (Bulgaria)
Q342	Admiral (Colombia)
Q343	Admiral (Cote d'Ivoire)
Q344	Admiral (Croatia)
Q345	Admiral (Egypt)
Q346	Admiral (France)
Q347	Admiral (India)
Q348	Admiral (Indonesia)
Q349	Admiral (Iran)
Q350	Admiral (Italy)
Q351	Admiral (Japan)
Q352	Admiral (Madagascar)
Q353	Admiral (Nigeria)
Q354	Admiral (Pakistan)
Q355	Admiral (Philippines)
Q356	Admiral (Russia)
Q357	Admiral (South Korea)
Q358	Admiral (Syria)
Q359	Admiral (Thailand)
Q360	Admiral (Turkey)
Q361	Admiral (Ukraine)
Q362	Admiral (United States)
Q363	Admiral (Venezuela)
Q364	Admiral (Vietnam)
Q365	Adnan Mansour
Q366	Ado Bayero
Q367	Adolf Hitler
Q368	Adolfo Pérez Esquivel
Q369	Adolfo Urso
Q370	Adolphe Muzito
Q371	Adonis Georgiadis
Q372	Adrian Piccoli
Q373	Adriana Muñóz
Q374	Advocate Lutfar Rahman
Q375	Adán Chávez
Q376	Aer Lingus
Q377	Aeroflot
Q378	Afar
Q379	Afenifere
Q380	Afghan Independent Human Rights Commission
Q381	Afghan Islamic Press
Q382	Afghan National Army
Q383	Afghan Tolo TV
Q384	Afghanistan
Q385	Afrasiab Khattak
Q386	Africa
Q387	African Americans
Q388	African Central Bank
Q389	African Development Bank
Q390	African Development Bank Group
Q391	African National Congress
Q392	African Refining Company
Q393	African Union
Q394	African Union Mission to Somalia
Q395	Aftonbladet
Q396	Aga Khan Foundation
Q397	Agathe Uwilingiyimana
Q398	Agbéyomé Kodjo
Q399	Agence France-Presse
Q400	Agricultural Research Center
Q401	Agricultural Rural Development Authority
Q402	Agriculture / Fishing / Forestry Ministry (Afghanistan)
Q403	Agriculture / Fishing / Forestry Ministry (Algeria)
Q404	Agriculture / Fishing / Forestry Ministry (Australia)
Q405	Agriculture / Fishing / Forestry Ministry (Azerbaijan)
Q406	Agriculture / Fishing / Forestry Ministry (Belarus)
Q407	Agriculture / Fishing / Forestry Ministry (Belize)
Q408	Agriculture / Fishing / Forestry Ministry (Brazil)
Q409	Agriculture / Fishing / Forestry Ministry (Cambodia)
Q410	Agriculture / Fishing / Forestry Ministry (Canada)
Q411	Agriculture / Fishing / Forestry Ministry (China)
Q412	Agriculture / Fishing / Forestry Ministry (Costa Rica)
Q413	Agriculture / Fishing / Forestry Ministry (Cote d'Ivoire)
Q414	Agriculture / Fishing / Forestry Ministry (Croatia)
Q415	Agriculture / Fishing / Forestry Ministry (Czech Republic)
Q416	Agriculture / Fishing / Forestry Ministry (Dominican Republic)
Q417	Agriculture / Fishing / Forestry Ministry (Egypt)
Q418	Agriculture / Fishing / Forestry Ministry (Ethiopia)
Q419	Agriculture / Fishing / Forestry Ministry (France)
Q420	Agriculture / Fishing / Forestry Ministry (Gambia)
Q421	Agriculture / Fishing / Forestry Ministry (Ghana)
Q422	Agriculture / Fishing / Forestry Ministry (Guyana)
Q423	Agriculture / Fishing / Forestry Ministry (India)
Q424	Agriculture / Fishing / Forestry Ministry (Iran)
Q425	Agriculture / Fishing / Forestry Ministry (Iraq)
Q426	Agriculture / Fishing / Forestry Ministry (Ireland)
Q427	Agriculture / Fishing / Forestry Ministry (Jamaica)
Q428	Agriculture / Fishing / Forestry Ministry (Japan)
Q429	Agriculture / Fishing / Forestry Ministry (Jordan)
Q430	Agriculture / Fishing / Forestry Ministry (Kazakhstan)
Q431	Agriculture / Fishing / Forestry Ministry (Kenya)
Q432	Agriculture / Fishing / Forestry Ministry (Kyrgyzstan)
Q433	Agriculture / Fishing / Forestry Ministry (Lebanon)
Q434	Agriculture / Fishing / Forestry Ministry (Liberia)
Q435	Agriculture / Fishing / Forestry Ministry (Luxembourg)
Q436	Agriculture / Fishing / Forestry Ministry (Malawi)
Q437	Agriculture / Fishing / Forestry Ministry (Netherlands)
Q438	Agriculture / Fishing / Forestry Ministry (New Zealand)
Q439	Agriculture / Fishing / Forestry Ministry (Nigeria)
Q440	Agriculture / Fishing / Forestry Ministry (Pakistan)
Q441	Agriculture / Fishing / Forestry Ministry (Philippines)
Q442	Agriculture / Fishing / Forestry Ministry (Poland)
Q443	Agriculture / Fishing / Forestry Ministry (Portugal)
Q444	Agriculture / Fishing / Forestry Ministry (Qatar)
Q445	Agriculture / Fishing / Forestry Ministry (Russia)
Q446	Agriculture / Fishing / Forestry Ministry (Rwanda)
Q447	Agriculture / Fishing / Forestry Ministry (Slovakia)
Q448	Agriculture / Fishing / Forestry Ministry (South Africa)
Q449	Agriculture / Fishing / Forestry Ministry (South Sudan)
Q450	Agriculture / Fishing / Forestry Ministry (Spain)
Q451	Agriculture / Fishing / Forestry Ministry (Sudan)
Q452	Agriculture / Fishing / Forestry Ministry (Suriname)
Q453	Agriculture / Fishing / Forestry Ministry (Syria)
Q454	Agriculture / Fishing / Forestry Ministry (Tanzania)
Q455	Agriculture / Fishing / Forestry Ministry (Thailand)
Q456	Agriculture / Fishing / Forestry Ministry (Turkey)
Q457	Agriculture / Fishing / Forestry Ministry (United Kingdom)
Q458	Agriculture / Fishing / Forestry Ministry (United States)
Q459	Agriculture / Fishing / Forestry Ministry (Uzbekistan)
Q460	Agriculture / Fishing / Forestry Ministry (Vietnam)
Q461	Agriculture / Fishing / Forestry Ministry (Yemen)
Q462	Agriculture / Fishing / Forestry Ministry (Zimbabwe)
Q463	Agriculture for Children’s Empowerment
Q464	Agustín Rossi
Q465	Ahmad Abdel Karim Ahmad
Q466	Ahmad Awad Bin Mubarak
Q467	Ahmad Jibril
Q468	Ahmad Majdalani
Q469	Ahmad Mohamed Ibrahim
Q470	Ahmad Nasser Al-Mohammad Al-Sabah
Q471	Ahmad Sayedi
Q472	Ahmad Shah Masood
Q473	Ahmad Umar
Q474	Ahmad Vahidi
Q475	Ahmad Zahid Hamidi
Q476	Ahmadu Umaru Fintiri
Q477	Ahmed Abdel Rahman Nasser
Q478	Ahmed Aboul Gheit
Q479	Ahmed Adhoum
Q480	Ahmed Farouq
Q481	Ahmed Gamal El-Din Moussa
Q482	Ahmed Idris
Q483	Ahmed Issack Hassan
Q484	Ahmed Khan Sherpao
Q485	Ahmed Maiteeq
Q486	Ahmed Mohamed Shafik
Q487	Ahmed Mohammed Haroun
Q488	Ahmed Omar Saeed Sheikh
Q489	Ahmed Ould Daddah
Q490	Ahmed Ouyahia
Q491	Ahmed Reda Chami
Q492	Ahmed Shaheed
Q493	Ahmed Shide
Q494	Ahmed Yusuf Yassin
Q495	Ahmed bin Abdullah Al Mahmoud
Q496	Ahmed el-Tayeb
Q497	Ahmet Davutoglu
Q498	Ahn Cheol Soo
Q499	Ahsan Iqbal
Q500	Ai Weiwei
Q501	Ain Shams University
Q502	Ainars Slesers
Q503	Air Force (Afghanistan)
Q504	Air Force (Bahrain)
Q505	Air Force (Bangladesh)
Q506	Air Force (Belgium)
Q507	Air Force (Brazil)
Q508	Air Force (Bulgaria)
Q509	Air Force (Canada)
Q510	Air Force (Chile)
Q511	Air Force (China)
Q512	Air Force (Colombia)
Q513	Air Force (Costa Rica)
Q514	Air Force (Cote d'Ivoire)
Q515	Air Force (Croatia)
Q516	Air Force (Ethiopia)
Q517	Air Force (France)
Q518	Air Force (Germany)
Q519	Air Force (Greece)
Q520	Air Force (Guatemala)
Q521	Air Force (Hong Kong)
Q522	Air Force (India)
Q523	Air Force (Iran)
Q524	Air Force (Iraq)
Q525	Air Force (Israel)
Q526	Air Force (Italy)
Q527	Air Force (Jordan)
Q528	Air Force (Kazakhstan)
Q529	Air Force (Lebanon)
Q530	Air Force (Malaysia)
Q531	Air Force (Morocco)
Q532	Air Force (Myanmar)
Q533	Air Force (New Zealand)
Q534	Air Force (Nigeria)
Q535	Air Force (Pakistan)
Q536	Air Force (Palestinian Territory, Occupied)
Q537	Air Force (Philippines)
Q538	Air Force (Poland)
Q539	Air Force (Qatar)
Q540	Air Force (Romania)
Q541	Air Force (Russia)
Q542	Air Force (Saudi Arabia)
Q543	Air Force (South Korea)
Q544	Air Force (Spain)
Q545	Air Force (Sri Lanka)
Q546	Air Force (Sudan)
Q547	Air Force (Syria)
Q548	Air Force (Taiwan)
Q549	Air Force (Thailand)
Q550	Air Force (Ukraine)
Q551	Air Force (United Kingdom)
Q552	Air Force (United States)
Q553	Air Force (Vietnam)
Q554	Air Force (Yemen)
Q555	Air Force Chief (China)
Q556	Air Force Chief (India)
Q557	Air Force Chief (Indonesia)
Q558	Air Force Chief (South Korea)
Q559	Air Force Chief (Taiwan)
Q560	Air Force of Zimbabwe
Q561	Air France
Q562	Air Marshall (Africa)
Q563	Air Marshall (Bangladesh)
Q564	Air Marshall (India)
Q565	Air Marshall (Nigeria)
Q566	Air Namibia
Q567	Air Self-Defence Force
Q568	Air Zimbabwe
Q569	Aircraft Carrier (China)
Q570	Aircraft Carrier (India)
Q571	Aircraft Carrier (Middle East)
Q572	Aircraft Carrier (South Korea)
Q573	Aircraft Carrier (Taiwan)
Q574	Aircraft Carrier (United Kingdom)
Q575	Aircraft Carrier (United States)
Q576	Airline (Afghanistan)
Q577	Airline (Angola)
Q578	Airline (Australia)
Q579	Airline (Bangladesh)
